Q12,Q13,1/5_1,1/5_2,1/5_3,1/5_4,1/5_5,1/5_6,1/5_7,1/5_8,2/5_1,2/5_2,2/5_3,2/5_4,2/5_5,3/5_1,QID7_1,4/5_1,4/5_2,4/5_3,4/5_4,4/5_5,4/5_6,4/5_7,4/5_8,4/5_9,4/5_10,4/5_11,4/5_12,4/5_13,4/5_14,4/5_15,4/5_16,4/5_17,4/5_18,4/5_19,4/5_20,5/5_1,5/5_2,5/5_3,5/5_4,5/5_5,5/5_6,5/5_7,5/5_8,5/5_9,5/5_10,5/5_11,5/5_12,5/5_13,5/5_14,5/5_15,5/5_16,5/5_17,5/5_18,5/5_19,5/5_20
2,1,4,2,4,1,3,1,2,4,2,5,5,5,4,5,5,4,3,1,3,1,2,1,2,1,1,5,1,1,2,1,3,2,4,1,5,2,5,4,2,2,4,2,5,4,2,2,1,5,4,4,4,1,3,1,4
1,2,2,3,4,2,5,1,4,3,4,3,4,4,4,3,3,5,3,4,4,1,5,5,5,1,1,3,4,4,3,5,3,3,5,1,5,5,5,5,4,1,2,1,4,1,5,2,3,3,5,5,5,5,5,5,5
2,3,4,2,4,4,4,1,4,4,3,4,2,4,4,5,5,3,2,4,1,3,2,2,1,1,1,2,2,1,2,2,1,1,4,2,2,3,4,3,2,2,1,1,2,4,2,2,4,2,3,4,2,2,1,2,2
1,4,3,2,2,2,3,3,3,2,2,2,3,3,2,5,3,2,2,3,2,3,3,3,1,1,2,2,2,3,2,3,2,2,3,3,3,2,3,3,3,4,4,2,2,3,2,2,3,1,2,2,1,2,2,2,3
2,5,4,3,4,3,4,2,4,4,4,5,5,4,2,5,7,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,5,1,4,2,2,1,1,2,2,1,1,1
1,6,4,2,4,2,2,4,3,2,4,3,3,2,3,5,6,3,4,4,5,5,4,4,3,4,2,4,5,4,4,4,3,2,4,5,4,3,3,4,3,3,4,3,3,4,3,1,2,4,4,4,3,4,2,3,4
2,7,5,2,4,2,4,2,3,3,4,4,4,3,5,5,5,4,2,2,2,1,4,2,3,1,1,3,2,2,2,2,2,2,4,1,4,3,3,2,2,1,2,1,3,1,2,4,1,3,5,3,4,2,1,2,4
1,8,5,1,5,2,5,1,4,4,4,4,4,4,4,6,5,1,2,2,2,1,3,2,3,1,1,2,1,1,1,1,1,1,3,1,2,4,1,3,1,2,2,2,1,4,1,2,1,2,4,3,3,3,1,2,4
1,9,4,4,3,4,2,3,3,2,3,3,4,2,2,2,5,3,1,1,2,1,2,2,3,1,1,2,2,3,1,2,2,1,3,1,2,3,4,4,3,3,2,4,2,4,3,2,2,4,4,2,2,2,1,2,4
1,10,4,2,4,3,3,1,3,3,3,4,3,2,3,5,5,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,2,1,5,2,1,2,2,1,4,3,2,4,2,2,1,1,2,2
1,11,4,2,5,2,4,1,4,4,5,4,4,4,5,6,7,2,1,2,3,2,2,3,2,1,1,1,3,1,2,4,1,1,2,1,2,2,3,2,2,4,1,2,2,2,2,1,2,2,4,3,3,2,3,3,3
