no,Q10,Q9,Q31,Q32,Q46,Q50,Q54,Q58,Q62,Q66,Q70,Q74,Q78,Q82,Q86,Q90,Q94,Q98,1/5_1,1/5_2,1/5_3,1/5_4,1/5_5,1/5_6,1/5_7,1/5_8,1/5_9,2/5_1,2/5_2,2/5_3,2/5_4,2/5_5,3/5_1,QID7_1,Q34
1,1,27,,,,,,,,,1,4,,,,,,,3,3,3,3,3,3,3,3,5,2,2,2,2,2,6,6,
2,1,35,,,,,,,,,,,,,1,4,,,3,4,4,2,4,3,4,4,5,4,4,4,4,4,4,4,
3,1,38,,,,,,,,,,,,,1,4,,,4,3,4,3,4,3,4,4,5,4,4,3,3,4,5,5,
4,1,30,,,,,,,,,,,,,,,1,4,4,3,4,4,3,2,3,4,5,4,3,3,4,3,6,5,
5,1,39,1,4,,,,,,,,,,,,,,,4,2,5,2,4,1,5,4,5,5,5,5,4,4,2,6,
6,1,35,,,,,,,,,1,4,,,,,,,5,4,4,4,3,4,4,4,4,5,4,4,4,4,5,5,
7,1,40,,,,,,,1,4,,,,,,,,,4,2,4,4,4,2,4,3,5,4,4,4,4,4,6,5,
8,1,40,,,1,4,,,,,,,,,,,,,2,3,3,3,3,3,3,2,5,3,2,2,2,2,1,3,
9,1,40,,,,,1,4,,,,,,,,,,,2,4,4,4,2,2,2,3,5,3,3,1,2,2,6,5,
10,1,37,,,,,,,,,,,,,,,1,4,4,1,5,1,4,1,4,4,5,4,4,4,4,4,2,5,
11,1,32,,,,,,,,,,,1,4,,,,,4,1,4,2,5,1,4,4,5,5,4,4,2,3,6,5,
12,1,33,,,1,4,,,,,,,,,,,,,4,3,3,4,3,3,3,3,5,4,4,4,4,4,6,6,
13,1,38,,,,,,,,,,,,,1,4,,,3,2,4,2,4,1,4,4,5,3,4,2,4,4,6,6,
14,1,27,1,4,,,,,,,,,,,,,,,5,1,5,1,5,1,4,5,5,4,5,5,5,4,7,7,
15,1,37,,,,,,,,,1,4,,,,,,,4,2,4,2,4,2,4,4,5,4,4,4,4,4,6,6,
16,1,38,,,,,1,4,,,,,,,,,,,4,2,4,2,4,1,4,4,5,4,4,3,4,3,6,5,
17,1,38,,,1,4,,,,,,,,,,,,,3,2,4,2,3,2,3,2,5,3,4,4,5,4,5,5,
18,1,34,,,,,,,1,4,,,,,,,,,3,4,3,4,3,4,4,4,5,3,3,3,3,3,5,5,
19,1,37,1,4,,,,,,,,,,,,,,,3,2,5,2,4,1,4,4,5,4,5,5,4,4,6,6,
20,1,20,,,,,,,,,,,,,,,1,4,2,2,3,3,3,1,2,3,5,3,5,2,4,4,5,6,
21,1,33,,,1,4,,,,,,,,,,,,,4,2,5,2,2,2,4,5,5,5,5,5,5,5,7,7,
22,1,39,,,,,,,,,1,4,,,,,,,4,2,4,2,4,2,4,3,5,5,5,5,5,4,7,6,
23,1,40,,,1,4,,,,,,,,,,,,,3,3,4,3,4,1,3,4,5,4,4,3,3,4,6,6,
24,1,40,,,,,1,4,,,,,,,,,,,3,3,4,3,4,1,3,4,5,3,3,3,4,3,5,5,
25,1,38,,,,,1,4,,,,,,,,,,,2,4,2,4,2,3,2,2,5,1,2,2,2,2,4,4,
26,1,40,,,,,,,,,,,1,4,,,,,4,2,4,2,4,2,4,4,5,3,4,4,3,4,5,5,
27,1,36,,,,,,,1,4,,,,,,,,,3,3,5,2,4,2,3,4,5,4,4,3,3,3,5,5,
28,1,38,,,,,,,,,,,1,4,,,,,5,1,5,1,5,1,5,5,5,5,5,5,5,5,7,7,
29,1,35,,,,,,,,,,,1,4,,,,,3,2,3,3,3,3,3,3,5,2,1,3,2,2,2,2,
30,1,38,,,,,,,,,,,1,4,,,,,4,2,4,2,4,1,4,4,5,4,4,4,4,4,5,5,
31,1,38,,,,,,,,,1,4,,,,,,,3,2,3,2,3,3,3,3,5,4,4,4,4,4,3,5,
32,1,30,,,,,,,,,,,1,4,,,,,3,2,4,3,3,2,3,3,5,2,4,3,4,3,5,5,
33,1,29,,,,,,,1,4,,,,,,,,,2,3,3,4,2,2,2,2,5,2,4,1,3,2,2,4,
34,1,33,,,,,1,4,,,,,,,,,,,4,2,4,2,4,2,4,4,5,4,4,2,2,3,5,5,
35,1,36,,,,,,,1,4,,,,,,,,,4,1,4,1,4,1,4,4,5,4,3,3,4,4,6,6,
36,1,38,,,,,,,,,,,,,1,4,,,5,2,5,2,4,1,4,4,5,5,5,5,5,5,7,7,
37,1,36,,,,,,,,,,,,,,,1,4,3,1,4,3,4,2,4,4,5,4,4,3,4,4,6,7,
38,1,30,,,,,,,,,,,,,,,1,4,4,2,4,3,3,1,3,4,5,4,5,2,4,4,6,6,
39,1,39,,,,,,,,,,,,,,,1,4,3,3,3,3,2,3,2,1,5,4,4,2,4,2,6,6,
40,1,38,1,4,,,,,,,,,,,,,,,3,3,4,3,3,2,3,3,5,4,4,4,4,3,5,6,
41,1,35,,,,,1,4,,,,,,,,,,,4,2,4,2,4,1,4,4,5,4,4,4,4,3,6,6,
42,1,39,,,,,,,,,,,1,4,,,,,4,3,4,2,4,2,4,4,5,3,4,4,4,3,5,5,
43,1,36,,,,,,,,,1,4,,,,,,,4,2,4,2,3,2,3,4,5,4,4,4,4,2,3,5,
44,1,38,,,,,,,,,1,4,,,,,,,4,2,5,2,4,1,4,4,5,4,4,5,5,4,7,7,
45,1,33,,,,,,,,,,,,,1,4,,,4,2,4,2,4,1,3,4,5,3,4,2,4,4,6,6,
46,1,34,,,,,1,4,,,,,,,,,,,4,2,5,3,3,2,4,4,5,4,4,4,4,4,4,4,
47,1,22,,,,,,,,,1,4,,,,,,,4,2,3,2,4,2,4,4,5,4,4,4,2,4,5,6,
48,1,38,,,1,4,,,,,,,,,,,,,1,5,3,5,2,3,1,2,5,4,4,4,3,2,6,6,
49,1,40,,,,,,,,,,,1,4,,,,,3,2,4,3,3,2,3,3,5,4,4,4,4,4,6,6,
50,1,29,1,4,,,,,,,,,,,,,,,4,3,4,3,4,3,4,4,5,4,4,4,4,4,5,5,
51,1,39,,,,,,,1,4,,,,,,,,,5,1,5,1,5,1,5,5,5,5,5,5,5,5,6,7,
52,1,37,,,1,4,,,,,,,,,,,,,3,3,4,3,2,3,3,2,5,4,5,2,2,4,7,5,
53,1,35,,,,,,,,,,,1,4,,,,,3,1,4,1,3,1,3,3,5,3,4,5,3,3,7,7,
54,1,38,,,,,,,1,4,,,,,,,,,1,5,4,3,1,3,1,1,5,1,1,1,1,1,5,5,
55,1,36,,,,,,,,,,,,,1,4,,,3,3,4,4,3,2,3,3,5,4,4,3,4,3,2,5,
56,1,19,1,4,,,,,,,,,,,,,,,5,1,5,1,5,1,5,5,5,5,5,5,5,4,6,6,
57,1,26,,,,,,,1,4,,,,,,,,,3,2,3,2,3,1,3,3,5,4,4,2,3,4,4,5,
58,1,34,,,,,1,4,,,,,,,,,,,4,2,4,2,4,1,4,3,5,4,3,3,2,3,5,5,
59,1,39,,,,,,,,,1,4,,,,,,,5,1,5,1,5,1,5,5,5,4,2,2,4,5,7,7,
60,1,39,,,,,,,,,,,,,1,4,,,3,3,4,3,3,1,3,3,5,4,2,2,4,2,5,5,
61,1,37,,,,,,,,,,,,,,,1,4,5,1,5,1,5,1,5,5,5,5,5,3,5,5,6,7,
62,1,39,,,,,1,4,,,,,,,,,,,5,1,5,1,5,1,5,5,5,5,5,5,5,5,7,7,
63,1,27,,,,,,,,,1,4,,,,,,,5,1,5,1,5,1,5,5,5,5,5,4,5,5,5,6,
64,1,39,,,1,4,,,,,,,,,,,,,3,2,4,2,4,2,3,3,5,3,4,4,4,3,5,5,
65,1,40,,,,,,,,,,,1,4,,,,,4,2,4,2,4,1,3,4,5,4,3,3,4,4,3,5,
66,1,36,,,,,,,,,1,4,,,,,,,3,4,2,3,4,1,2,3,5,2,4,1,2,2,6,6,
67,1,32,,,1,4,,,,,,,,,,,,,3,3,4,3,4,1,3,4,5,3,4,4,4,3,6,6,
68,1,22,,,,,1,4,,,,,,,,,,,4,2,4,2,4,1,4,4,5,2,4,4,2,1,2,5,
69,1,36,,,,,,,1,4,,,,,,,,,4,1,4,1,4,1,4,4,5,4,4,2,5,4,1,6,
70,1,32,,,,,,,,,,,,,,,1,4,1,4,3,4,2,2,1,1,5,2,1,1,1,2,1,2,
71,1,26,,,,,1,4,,,,,,,,,,,4,3,3,2,4,2,4,4,5,4,4,3,3,3,5,5,
72,1,37,,,1,4,,,,,,,,,,,,,3,4,3,3,4,2,4,4,5,4,5,5,4,3,5,5,
73,1,23,,,,,,,,,,,1,4,,,,,5,1,5,1,5,1,5,5,5,5,5,5,5,5,7,7,
74,1,33,,,,,,,,,,,,,1,4,,,1,2,1,1,1,1,2,2,5,3,4,4,4,4,5,6,
75,1,39,,,,,,,,,,,,,,,1,4,2,4,2,4,2,4,2,1,5,3,4,3,3,2,5,5,
76,1,31,,,,,,,,,1,4,,,,,,,1,3,3,3,2,3,1,1,5,2,3,1,2,2,5,5,
77,1,37,,,,,,,,,,,1,4,,,,,4,2,4,2,4,2,4,4,5,2,2,3,2,2,4,3,
78,1,32,,,1,4,,,,,,,,,,,,,3,4,2,4,4,3,3,3,5,4,4,4,3,3,5,6,
79,1,37,,,,,,,,,,,,,1,4,,,3,3,4,3,3,2,3,3,5,4,4,3,4,3,6,6,
80,1,39,,,,,,,1,4,,,,,,,,,3,3,4,3,3,3,3,3,5,3,3,3,3,3,7,7,
81,1,38,1,4,,,,,,,,,,,,,,,1,5,1,5,1,2,1,1,5,4,5,5,1,1,7,7,
82,1,28,1,4,,,,,,,,,,,,,,,1,5,4,5,1,2,1,1,5,2,4,4,4,1,6,6,
83,1,40,,,,,,,,,,,,,,,1,4,3,3,2,2,3,2,3,3,5,3,3,2,3,2,3,3,
84,1,32,1,4,,,,,,,,,,,,,,,4,3,5,3,3,2,3,3,5,3,3,4,4,4,6,6,
85,1,40,,,,,,,1,4,,,,,,,,,5,2,5,1,5,1,5,5,5,5,5,5,5,5,6,7,
86,1,32,,,,,,,,,1,4,,,,,,,2,4,2,4,2,2,2,2,5,1,4,3,4,2,6,7,
87,1,32,,,,,,,,,,,1,4,,,,,3,3,3,4,2,4,2,2,5,3,2,3,2,2,2,5,
88,1,40,,,,,,,,,,,,,1,4,,,4,2,4,2,4,1,4,4,5,4,5,1,4,4,7,6,
89,1,40,,,,,1,4,,,,,,,,,,,3,4,4,1,5,1,4,4,5,1,5,4,4,4,6,6,
90,1,37,,,,,,,,,,,1,4,,,,,3,3,3,3,3,3,3,3,5,2,2,2,2,2,3,3,
91,1,33,1,4,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,5,3,3,3,3,3,4,4,
92,1,20,,,,,1,4,,,,,,,,,,,3,2,3,3,4,3,3,2,5,3,3,3,2,3,5,5,
93,1,39,,,,,,,,,,,,,1,4,,,4,2,5,1,4,1,4,4,5,4,4,3,4,3,6,6,
94,1,37,,,1,4,,,,,,,,,,,,,4,3,5,3,4,1,4,3,5,5,4,5,3,4,6,5,
95,1,40,,,,,,,,,,,,,,,1,4,4,1,5,2,4,1,4,4,5,4,5,4,5,4,6,7,
96,1,35,,,,,,,,,1,4,,,,,,,2,2,2,4,2,3,2,2,5,2,4,1,1,2,5,5,
97,1,37,,,,,,,1,4,,,,,,,,,3,4,4,4,3,3,3,2,5,2,2,1,2,3,5,5,
98,1,22,,,,,,,,,,,1,4,,,,,4,1,4,2,4,2,4,3,5,2,4,2,5,2,3,6,
99,1,19,1,4,,,,,,,,,,,,,,,4,2,4,1,3,1,4,4,5,3,4,5,4,4,7,7,
100,1,39,,,1,4,,,,,,,,,,,,,2,5,3,5,2,1,1,3,5,2,4,3,4,4,1,5,
101,1,33,,,,,,,1,4,,,,,,,,,4,3,4,3,4,2,3,4,5,4,5,4,4,4,6,6,
102,1,35,,,,,1,4,,,,,,,,,,,4,2,5,2,4,2,3,3,5,5,5,2,4,4,7,7,
103,1,37,,,,,,,,,1,4,,,,,,,1,5,1,5,1,5,1,1,5,1,1,1,1,1,5,6,
104,1,34,,,,,,,1,4,,,,,,,,,5,1,5,1,3,1,3,3,5,2,1,1,1,3,7,7,
105,1,24,1,4,,,,,,,,,,,,,,,3,3,4,3,3,1,3,3,5,4,4,4,3,3,6,6,
106,1,40,,,,,,,,,,,,,1,4,,,3,3,4,3,3,2,3,2,5,2,4,4,4,4,5,4,
107,1,38,,,,,,,,,1,4,,,,,,,3,3,4,3,3,2,3,3,5,3,3,3,3,3,4,4,
108,1,18,,,1,4,,,,,,,,,,,,,2,5,5,2,4,1,1,3,5,1,3,2,1,4,3,5,
109,1,27,,,,,1,4,,,,,,,,,,,4,2,5,4,4,1,4,4,5,4,4,4,2,5,6,7,
110,1,20,,,,,,,1,4,,,,,,,,,2,4,4,3,3,2,2,4,5,4,4,2,2,2,5,5,
111,1,38,,,,,,,,,,,,,,,1,4,3,2,4,2,3,1,3,3,5,1,4,2,2,4,5,6,
112,1,40,1,4,,,,,,,,,,,,,,,4,2,4,2,4,1,4,4,5,4,5,4,4,5,6,6,
113,1,40,,,,,,,,,,,,,1,4,,,3,1,5,1,4,1,3,3,5,4,4,2,4,4,5,5,
114,1,37,,,,,,,,,,,1,4,,,,,3,3,3,3,3,2,3,3,5,2,3,4,3,3,3,3,
115,1,35,,,,,,,,,,,,,1,4,,,3,2,4,2,3,2,3,3,5,4,1,1,1,1,6,5,
116,1,39,1,4,,,,,,,,,,,,,,,5,2,4,2,3,1,4,2,5,2,4,2,4,2,4,6,
117,1,31,,,1,4,,,,,,,,,,,,,4,5,3,4,2,3,4,4,5,2,2,3,1,2,4,5,
118,1,21,,,,,,,,,,,1,4,,,,,4,1,4,1,4,1,4,4,5,3,3,4,4,3,5,5,
119,1,32,,,,,1,4,,,,,,,,,,,3,3,4,3,4,2,4,3,5,2,4,2,2,3,5,6,
120,1,40,,,,,,,,,1,4,,,,,,,3,2,5,3,5,1,3,4,5,3,5,2,5,3,5,6,
121,1,28,,,,,,,,,,,,,1,4,,,4,1,4,1,4,1,4,4,5,4,4,4,4,3,6,6,
122,1,33,,,1,4,,,,,,,,,,,,,4,2,5,2,4,2,4,3,5,2,4,3,4,4,2,4,
123,1,40,,,,,,,1,4,,,,,,,,,4,3,4,4,4,2,3,4,5,3,4,4,1,2,6,5,
124,1,26,,,,,,,,,1,4,,,,,,,2,3,4,4,2,3,2,1,5,2,4,3,3,2,5,3,
125,1,39,,,,,,,,,,,,,1,4,,,2,4,4,4,2,1,2,2,5,4,5,4,5,4,6,6,
