StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q12,Q13,1/5_1,1/5_2,1/5_3,1/5_4,1/5_5,1/5_6,1/5_7,1/5_8,2/5_1,2/5_2,2/5_3,2/5_4,2/5_5,3/5_1,QID7_1,4/5_1,4/5_2,4/5_3,4/5_4,4/5_5,4/5_6,4/5_7,4/5_8,4/5_9,4/5_10,4/5_11,4/5_12,4/5_13,4/5_14,4/5_15,4/5_16,4/5_17,4/5_18,4/5_19,4/5_20,5/5_1,5/5_2,5/5_3,5/5_4,5/5_5,5/5_6,5/5_7,5/5_8,5/5_9,5/5_10,5/5_11,5/5_12,5/5_13,5/5_14,5/5_15,5/5_16,5/5_17,5/5_18,5/5_19,5/5_20
開始日,終了日,回答タイプ,IPアドレス,進行状況,時間（秒単位）,終了,記録日,回答ID,受信者の姓,受信者の名,受信者のメールアドレス,外部データ参照,位置の緯度,位置の経度,配信のチャンネル,ユーザーの言語,実験者から指定されたIDを選択してください,実験者から指定された数字を入力してください,会話相手であるロボットについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話相手は私の友人になれると思う,会話相手であるロボットについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話相手と私は互いに友情を築くことはできないと思う,会話相手であるロボットについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話相手と私は友好的なおしゃべりをすることができると思う,会話相手であるロボットについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話相手が私の友人の輪に入るとは思わない,会話相手であるロボットについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話相手は一緒にいて楽しいと思う,会話相手であるロボットについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話相手は一緒にいて不快だと思う,会話相手であるロボットについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話相手と私は親しい友人になれると思う,会話相手であるロボットについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話相手とまた会いたいと思う,交流相手であるロボットとのコミュニケーションについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話中、交流相手の反応を見極めることができた,交流相手であるロボットとのコミュニケーションについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話中、交流相手と向かい合っているような気がした,交流相手であるロボットとのコミュニケーションについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話中、交流相手と同じ部屋にいるような気がした,交流相手であるロボットとのコミュニケーションについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話中、交流相手が現実にいるような気がした,交流相手であるロボットとのコミュニケーションについてお尋ねします。各項目をよく読んで、あてはまるところを選択してください。 - 会話中、交流相手のことを本当に知ることができるような気がした,次の項目をよく読んで、あてはまるところを選択してください。 - 会話相手はどの程度識別可能でしたか,次の項目をよく読んで、あてはまるところを選択してください。 - 会話相手について認識することができた,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人前で文字を書かなければならない時、不安になる,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 公衆トイレを使う時、自意識過剰になる,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 自分の声や、自分の話を聞いている人の存在に突然気づくことがある,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 道を歩いている時、人が自分をじっと見ていると思い、緊張する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人といる時、赤面するのではないかと怖くなる,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 他の人達がすでに着席している部屋に入る時、自意識過剰になる,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 他の人に見られている時、震えてしまうのではないかと心配になる,各項目をよく読んで、あなたにあてはまるところを選択してください。 - バスや電車で人と向かい合わせに座ったら、緊張する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人が自分のことをふらついているとか、病気であると思っているかもしれないと考えパニックになる,各項目をよく読んで、あなたにあてはまるところを選択してください。 - たくさんの人と一緒にいる時は、飲み物を飲みにくいと思う,各項目をよく読んで、あなたにあてはまるところを選択してください。 - レストランで知らない人と食事をする時は、自意識過剰になる,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人が自分の行動を奇妙だと思うのではないかと心配する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 混雑した食堂でトレイを運ぶとしたら、緊張するだろう,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人前で自分をコントロールできなくなるのではないかと心配する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人の注目を浴びるようなことをしてしまうのではないかと心配する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - エレベーターに乗っている時、人が自分を見ているのではないかと緊張する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 列に並んでいる時、目立っていると感じることがある,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人前で話す時、緊張する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人前で頭が上下左右に揺れるかもしれないと心配する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人が自分を見ていることがわかると、ぎこちなくなったり緊張したりする,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 目上の人（先生、上司など）と話さなければならない時、緊張する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人と目を合わせるのは難しい,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 自分のことや自分の気持ちについて話す時、緊張する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 同僚とうまくやっていくのは難しいと感じる,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 同年代の人と友達になるのはたやすい,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 道で知り合いに会うと緊張する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 社交的に人とつきあうのは苦痛である,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 誰かと2人っきりになると緊張する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - パーティーなどで人と会うのは平気だ,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人と話すのは難しい,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 話題を見つけるのはたやすい,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 自分を表現するとき、ぎこちないと思われるのではないかと心配する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人の意見に反対するのは難しい,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 魅力的な異性と話すのは難しい,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 人前で何を話したらよいかわからないと心配する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - よく知らない人とつきあうのは緊張する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 話をしている時、恥ずかしいことを言っているのではないかと感じる,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 集団でいる時、自分は無視されているのではないかと心配する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - 集団でつきあうのは緊張する,各項目をよく読んで、あなたにあてはまるところを選択してください。 - あまり知らない人に会った時、あいさつするかどうか迷う
"{""ImportId"":""startDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID8_9""}","{""ImportId"":""QID8_10""}","{""ImportId"":""QID8_11""}","{""ImportId"":""QID8_12""}","{""ImportId"":""QID8_13""}","{""ImportId"":""QID8_14""}","{""ImportId"":""QID8_15""}","{""ImportId"":""QID8_16""}","{""ImportId"":""QID8_17""}","{""ImportId"":""QID8_18""}","{""ImportId"":""QID8_19""}","{""ImportId"":""QID8_20""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_8""}","{""ImportId"":""QID9_9""}","{""ImportId"":""QID9_10""}","{""ImportId"":""QID9_11""}","{""ImportId"":""QID9_12""}","{""ImportId"":""QID9_13""}","{""ImportId"":""QID9_14""}","{""ImportId"":""QID9_15""}","{""ImportId"":""QID9_16""}","{""ImportId"":""QID9_17""}","{""ImportId"":""QID9_18""}","{""ImportId"":""QID9_19""}","{""ImportId"":""QID9_20""}"
2024/6/11 15:48,2024/6/11 15:54,0,,100,408,1,2024/6/11 15:55,R_4aY3grR7vkVw5J2,,,,,36.6125,136.6089,anonymous,JA,2,1,4,2,4,1,3,1,2,4,2,5,5,5,4,5,5,4,3,1,3,1,2,1,2,1,1,5,1,1,2,1,3,2,4,1,5,2,5,4,2,2,4,2,5,4,2,2,1,5,4,4,4,1,3,1,4
2024/6/12 9:38,2024/6/12 9:50,0,,100,729,1,2024/6/12 9:50,R_4fZC57RYbvjBQhI,,,,,36.6125,136.6089,anonymous,JA,1,2,2,3,4,2,5,1,4,3,4,3,4,4,4,3,3,5,3,4,4,1,5,5,5,1,1,3,4,4,3,5,3,3,5,1,5,5,5,5,4,1,2,1,4,1,5,2,3,3,5,5,5,5,5,5,5
2024/6/12 10:07,2024/6/12 10:20,0,,100,770,1,2024/6/12 10:20,R_4icMK2bXRibtokh,,,,,36.6125,136.6089,anonymous,JA,2,3,4,2,4,4,4,1,4,4,3,4,2,4,4,5,5,3,2,4,1,3,2,2,1,1,1,2,2,1,2,2,1,1,4,2,2,3,4,3,2,2,1,1,2,4,2,2,4,2,3,4,2,2,1,2,2
2024/6/12 11:02,2024/6/12 11:19,0,,100,1060,1,2024/6/12 11:19,R_4nCqITQvjosIVNL,,,,,36.6125,136.6089,anonymous,JA,1,4,3,2,2,2,3,3,3,2,2,2,3,3,2,5,3,2,2,3,2,3,3,3,1,1,2,2,2,3,2,3,2,2,3,3,3,2,3,3,3,4,4,2,2,3,2,2,3,1,2,2,1,2,2,2,3
2024/6/12 12:50,2024/6/12 12:57,0,,100,409,1,2024/6/12 12:57,R_4eIWl9sho6yT1jr,,,,,36.6125,136.6089,anonymous,JA,2,5,4,3,4,3,4,2,4,4,4,5,5,4,2,5,7,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,5,1,4,2,2,1,1,2,2,1,1,1
2024/6/12 13:43,2024/6/12 13:50,0,,100,430,1,2024/6/12 13:50,R_44IBg4pGsmFduQp,,,,,36.6125,136.6089,anonymous,JA,1,6,4,2,4,2,2,4,3,2,4,3,3,2,3,5,6,3,4,4,5,5,4,4,3,4,2,4,5,4,4,4,3,2,4,5,4,3,3,4,3,3,4,3,3,4,3,1,2,4,4,4,3,4,2,3,4
2024/6/12 15:37,2024/6/12 15:51,0,,100,792,1,2024/6/12 15:51,R_49mb9JyCbKP78ad,,,,,36.6125,136.6089,anonymous,JA,2,7,5,2,4,2,4,2,3,3,4,4,4,3,5,5,5,4,2,2,2,1,4,2,3,1,1,3,2,2,2,2,2,2,4,1,4,3,3,2,2,1,2,1,3,1,2,4,1,3,5,3,4,2,1,2,4
2024/6/12 15:52,2024/6/12 16:05,0,,100,805,1,2024/6/12 16:05,R_4NxEPy9qWSMGX8h,,,,,36.6125,136.6089,anonymous,JA,1,8,5,1,5,2,5,1,4,4,4,4,4,4,4,6,5,1,2,2,2,1,3,2,3,1,1,2,1,1,1,1,1,1,3,1,2,4,1,3,1,2,2,2,1,4,1,2,1,2,4,3,3,3,1,2,4
